Name_of_Position;Description;Label;Experience;Link_to_Job
"Software Developer Internship : Silicon Monitoring Solutions 
";"
Siemens EDA is a global technology leader in electronic design automation software Our software tools enable companies around the world to develop new and highly innovative electronic products faster and more costeffectively Our customers use our tools to push the boundaries of technology and physics in order to deliver better products in the increasingly complex world of chip board and system design

Tessent Embedded Analytics part of Siemens EDA is a pioneering developer of analytics and monitoring technology at the heart of the systemsonchip (SoCs) that power todays electronic products Our embedded analytics technology allows product designers to add sophisticated cybersecurity functional safety and performance tuning features and it helps resolve critical issues such as increasing system complexity and ever decreasing timetomarket We are proud of our technology and selling globally to many of the most respected and most exciting technology companies in the world

The promise of a digital future…today With the digital twin Siemens Digital Industries Software blurs the boundaries between the virtual and physical hardware and software design and manufacturing worlds For more information about us visit  httpswwwyoutubecomwatchv=k6mVLaUyO4U

What Were Looking For

We are looking for a talented intern to join our Embedded Analytics software team In this role you will contribute to the development of tools that enable the integration of our hardware monitors into silicon chip designs You will participate in creating software to manage and analyze data collected from these onchip monitoring systems If you have a strong background in embedded software and a keen interest in silicon analytics we encourage you to apply Youll work alongside experienced engineers gain handson experience with stateoftheart technologies and play a key role in shaping our Embedded Analytics software suite This is an excellent opportunity to expand your skills contribute to cuttingedge projects and jumpstart your career in semiconductor industry and analytics software

You will be working with the following technologies 

Software languages Python C C++ 
Markup languages (YAML XML) 
GUI design Tcl 
Embedded system design 
Silicon ASIC and FPGA designs (including Verilog) 
Machine learning 
Software management and CI tools (Gitlab Jenkins) 

Why Working at Siemens Software

We are an equal opportunity employer and value diversity at our company We do not discriminate based on race religion color national origin sex gender gender expression sexual orientation age marital status veteran status or disability status

We are Siemens

A collection of over 377000 minds building the future one day at a time in over 200 countries Were dedicated to equality and we welcome applications that reflect the diversity of the communities we work in All employment decisions at Siemens are based on qualifications merit and business need
";Software Developer;Intern;google.com19
Intern Software Engineer;"Please submit your documents in English when applying for this position

We are looking for Junior Software Engineer for our OvertureRT team You will join a successful and experienced team that architects develops and manages highperformance realtime video and graphics pipelines working in C and C++

Skills And Experience You Will Bring

Basic to intermediate proficiency with modern CC++ academic or personal projects
Familiarity with Linux environments eg working with the command line
Understanding of clean code and design patterns 
Exposure to scripting languages such as Python Bash or Shell
Good communication skills in English both written and verbal
Be resultsoriented selfmotivated and a team player
Strong analytical research and problemsolving skills

Additional Skills And Experience That Will Be Useful

Interest in video processing and broadcast industry 
Basic understanding of cloud infrastructure is a plus 
Basic experience with Git eg version control repositories familiarity with CICD tools Confluence or JIRA is a plus 
Basic understanding of networking concepts eg TCPUDP sockets or multicastunicast

Your Responsibilities

Contributing to the design and implementation of software following best practices
Supporting improvements in existing software under guidance
Writing clean welldocumented and efficient code that others can understand
Gaining experience with unit and functional testing as part of software development
Contributing both independently and in a team setting collaborating with peers and mentors
Assisting in deploying software tools and processes under supervision
Supporting the maintenance and improvement of existing systems

Recruitment Process Is Simple

Screening with recruiter 30min 
Technical interview with 2 Software Engineers about 90min 

If you are a talented Software Engineer looking for a role that offers both technical challenges and opportunities for professional development we invite you to join our team and help us shape the future

You will meet regularly with your mentor in person in Warsaw or Cracow

When you apply to a job on this site the personal data contained in your application will be collected by Evertz Microsystems Ltd Controller which is located at 5292 John Lucas Drive Burlington Ontario Canada and can be contacted by emailing [email protected] Controllers data protection officer is Nadiera Toolsieram who can be contacted at [email protected] Your personal data will be processed for the purposes of managing Controllers and its subsidiaries and affiliates recruitment related activities which include setting up and conducting interviews and tests for applicants evaluating and assessing the results thereto and as is otherwise needed in the recruitment and hiring processes Such processing is legally permissible under Art 61f of Regulation EU 2016679 General Data Protection Regulation as necessary for the purposes of the legitimate interests pursued by the Controller which are the solicitation evaluation and selection of applicants for employment

A complete privacy policy can be found at httpsevertzcomcontactprivacy

Your personal data will be retained by Controller as long as Controller determines it is necessary to evaluate your application for employment Under the GDPR you have the right to request access to your personal data to request that your personal data be rectified or erased and to request that processing of your personal data be restricted You also have to right to data portability In addition you may lodge a complaint with an EU supervisory authority";Software Developer;Intern;google.com20
Software Engineer, Intern;"At Bending Spoons were striving to build one of the alltime great companies A company that serves a huge number of customers A company where team members grow to their full potential A company that functions at unparalleled levels of effectiveness and efficiency A company that creates value for shareowners at an extraordinary rate And a company that does so while adhering to high ethical standards



To achieve this objective we execute the following strategy We acquire a digital business with untapped potential and make it as successful as we can by leveraging our platformwhich comprises our expertise technologies data brand talents and company culture Then we invest the proceeds into making our platform more powerful and into acquiring new businesses Thus our strategy sees us combine an investors attention to capital allocation with the handson approach of an operator



For a talented driven and collaborative individual working at Bending Spoons is an opportunity to learn make an impact and progress their career at an exceptionally high rate Thats our promise to such a candidate



A few examples of your responsibilities

Master your toolkit By working across diverse tech stacks youll refine your ability to choose the right tools for every challenge From monolithic to microservices architectures gRPC to REST APIs Kubernetes to Docker Python to Rustyoull show that true expertise isnt about using the trendiest technologies but about understanding their purpose to unleash their full potential
Build stuff that matters Regardless of your seniority youll enjoy plenty of autonomy and take full ownership of your work from ideation to execution Youll have the unique opportunity to build software from the ground up and witness firsthand how your code evolves into a product used at scale
Simplify relentlessly Is every component essential Do we need this process As a Bending Spoons engineer your mission is to turn complexity into simplicity Whether optimizing CICD pipelines writing maintainable code or crafting minimalist architectures your drive to simplify will power scalable futureproof solutions


What we look for

Reasoning ability Given the necessary knowledge you can solve complex problems You think from first principles and structure your ideas sharply You resist the influence of biases You identify and take care of the details that matter
Drive Youre extremely ambitious in everything you doand your initiative effort and tenacity match the intensity of your ambition You feel deeply responsible for your work You hold yourself to a highand risingbar
Team spirit You give generously and without the expectation of receiving in return You support the best idea not your idea Youre always happy to get your hands dirty to help your team Youre reliable honest and transparent
Proficiency in English You read write and speak proficiently in English
You can work at least 20 hours per week A fulltime commitment is preferred but well consider applicants who can commit to at least 20 hours per week


What we offer

Incredibly talented entrepreneurial teams Youll work in small resultoriented autonomous teams alongside some of the brightest people in your field
An exceptional opportunity for growth We go to great lengths to hire individuals of outstanding potentialthen our priority is to put them in the ideal position to thrive Spooners in their 20s lead products worth hundreds of millions of dollars And if youve got what it takes youll soon be playing an essential role in major projects too
Competitive pay and access to equity in the company Typically we offer an individual at the start of their career a salary of £66779 in the UK and €63965 elsewhere If they possess a few years of relevant experience the salary on offer tends to be between £110389 and £149636 in the UK and €105737 and €143330 elsewhere Pay grows rapidly as you accumulate experience and translate it into greater impact You can also receive some of your pay in company equity at a discounted price thus participating in the value creation we achieve together If relocating to Italy you may enjoy a 50% tax cut
All These Benefits Flexible hours remote working unlimited backing for learning and training topofthemarket health insurance a rich relocation package generous parental support and a yearly retreat to a stunning location We help each Spooner set up the conditions to do their best work


Commitment & contract

Internship Fulltime or Parttime



Location

Milan Italy London UK or fully remote



Before you apply

Bending Spoons is a demanding environment Were extremely ambitious and we ask a lot of ourselves and one another While this tends to lead to fantastic learning achievements and career growth it also requires a significant commitment So if you like the role and are ready to give your very best dont hesitate to apply



The selection process

If you pass our screening well ask you to take on a few tests that assess how you approach unfamiliar problems If youre successful with those well invite you to a series of interviews



Bending Spoons is an equal opportunity and affirmative action employer We consider for employment any applicant and we provide reasonable accommodations for an applicant with disabilities which can be requested at accommodationsextbendingspoonscom



Studies suggest that women tend not to apply for a job if their CV isnt a perfect fit Here talent takes precedence over experience So if you like the role and think you could be awesome at it in time go ahead and apply";Software Developer;Intern;google.com21
Sta? w Zespole Business Intelligence ;"W trakcie sta?u kandydat zapozna si? od praktycznej strony z procesem rozwoju oprogramowania zaawansowan? analityk? danych procesem wdra?ania oprogramowania na ró?nych ?rodowiskach dynamicznie rozwijaj?cym si? ?rodowiskiem Business Intelligence W swojej pracy b?dzie korzysta? z wielu najnowszych technologii przetwarza? ogromne zbiory danych oraz bra? udzia? w du?ych projektach teleinformatycznych



Nasze oczekiwania

Student minimum 3 roku kierunku informatyka lub innych pokrewnych kierunków technicznych
Znajomo?? min podstawowa Linux Python SQL
Znajomo?? j angielskiego na poziomie pozwalaj?cym na prac? z dokumentacj? techniczn?
Ch?? rozwoju kompetencji w zakresie najnowocze?niejszych rozwi?za? z obszaru Business Intelligence


Co oferujemy

P?atny 6miesi?czny sta? z szans? na d?u?sz? wspó?prac? data zatrudnienia  01042025
Opiekuna merytorycznego który wprowadzi w ?wiat Grupy Polsat Plus
Elastyczne ustalenie grafiku realizacji sta?u
Szkolenia i rozwojowy feedback
Certyfikat potwierdzaj?cy udzia? w Programie
Miejsce odbywania sta?u Warszawa ul Konstruktorska 4


Spó?ka informuje ?e przyj??a Procedur? zg?aszania narusze? prawa zgodnie ustaw? z dnia 14 czerwca 2024 r o ochronie sygnalistów

Szczegó?owe informacje dost?pne pod poni?szym";Software Developer;Intern;google.com22
Intern in Engineering Team (Smart Object);"To create revolutionary storydriven RPGs which go straight to the hearts of gamers  this is our mission Want to dive deeper into our companys culture Explore our social media and check out ourYouTube channelwhere we share behindthescenes insights and stories direct from our team members

Job Description

Ever spent hours tracking drowners near Nilfgaard or uncovering every hidden secret in Night City Or maybe youre just looking for a place to learn grow and gain handson experience in a unique gaming industry

If so our RED Summer Internship is the perfect opportunity Youll work alongside experienced professionals tackle real tasks and see how things run behind the scenes at our studio Apply now and take your first step into the world of gamedev

Daily Responsibilities

Implementing and maintaining Smart Object features in C++ 
Being part of the agile development process 
Work closely with senior developers 

Qualifications

Please apply only if you meet all of the following criteria

You are at least 18 years old 
You are a fresh high school graduate or a university student 
You are going to reside in Poland throughout the whole internship 
You are available from the beginning of July until the end of September 40hweek 
You have a good command of English 

For this role you should also have

Good knowledge of C++ 
At least basic familiarity with Unreal Engine and Blueprints 
A strong interest in game development 

Nice to have

Completed academic or Game Jam projects in Unreal Engine 
Familiar with Game AI techniques such as Navigation State Trees Smart Objects Locomotion and how they work in Unreal Engine 

Please attach code samples if you have any finished school or personal projects participation in opensource projects or link to your github profile

Please note that your CV must be in English

Additional Information

Working mode OfficeFirst working from the Warsaw office for at least three days a week 
The internship is fully paid under a contract of mandate running from July to the end of September 

Please note that CD PROJEKT RED cannot facilitate in residencestudy permits andor relocation supporthousing

Perks & Benefits

Flexible working hours  start your workday anytime between 800 and 1000 AM 
A welcome pack filled with goodies  to help you feel right at home once you join the team 
Dogfriendly office  dog owner Bring your pooch with you and look after them while working Theres always a furry friend or two to meet at the studio 
Social events  we host regular gatherings at the studio where we can all unwind play games and just have some fun together 
Healthy selections  organic fruit snacks muesli organic honey vegan milk and speciality coffee are all at your disposal around the studio Enjoy
Truly international working environment  a chance to meet and work with a diverse selection of people from all around the world 
Sustainable campus with an eco ethos  solar panels provide green energy 2000 plants and an airfiltering system to help provide clean air electric car charging points flower meadows and more green features in the works 
An onsite wellequipped gym with a climbing wall daily Gym Assistant support and yoga and healthy spine classes 
Car and bike parking spaces 
A designated space for your bicycle as well as bicycle repair equipment and showers available whenever you need them 
No dresscode  we like to keep it casual 

If youve observed any irregularities in our recruitment process please clickhereto report them";Software Developer;Intern;google.com23
Intern Programmer - AIConsole;"??? ?? ????????
At AIConsole we are building a unified platform that integrates the latest AI technologies across various applications As an Intern Programmer youll have a unique opportunity to work alongside experienced developers contribute to real projects and deepen your technical skills in both desktop and web development

This internship is designed for students in their 3rd or 4th year of Computer Science or related fields who want handson experience in AIdriven development Youll be working with Python and FastAPI and gain exposure to both frontend and backend development

If youre passionate about AI eager to learn and excited to work on meaningful projects this is the place for you

Responsibilities

What Youll Be Doing

Developing new features for AIConsoles desktop and web applications 
Writing clean welldocumented code and collaborating in code reviews 
Engaging in both frontend and backend development depending on your interests and skills 
Testing and debugging new functionalities to ensure stability and performance 
Working closely with senior developers receiving mentorship and handson guidance 
Interacting with the AIConsole community to understand user needs and improve the platform 

Who Were Looking For

Currently enrolled in a 3rd or 4thyear Computer Science or related program 
Proficient in Python with the motivation to further skills development 
Comfortable working independently and proactively 
Able to commit 68 hours per day with at least 2 days per week onsite in Warsaw 

Benefits

English proficiency at B2 level or higher C1 preferred

What Youll Gain

Handson experience with cuttingedge AI technologies and realworld development practices 
Mentorship from experienced engineers to help you grow technically and professionally 
A personalized reference letter recognizing your achievements 
Official internship documentation for your university and resume 
Opportunity to apply for a permanent role after successfully completing the internship 

If youre excited about AI eager to learn and ready to make an impact in a growing startup wed love to hear from you

Want To Know More About Us

AIConsole is all about shaking up the AI game bundling up the latest tech into one neat package Our crew is all about pushing boundaries With big dreams of taking our product worldwide were after gogetters to help us make it happen

We embrace extreme ownership rallying together to deliver exceptional results In practice this means youll have a real say in shaping us Your influence will be felt as we collaborate to tackle challenges and achieve our goals with precision

";Software Developer;Intern;google.com24
Graduate LLMOps Engineer;"As a Graduate LLMOps Engineer you will not only gain general software engineering experience but also learn how to effectively integrate the latest generative AI technologies in a commercial setting Youll work with industryleading tools including AWS Bedrock OpenAI Claude Sonnet 37 and the Amazon Nova LLM family Youll also explore techniques like RetrievalAugmented Generation RAG and GraphDBs while leveraging modern Python frameworks to orchestrate LLM usage

Heres a breakdown of what youll do not all of it just the important stuff 

Operate large language models LLMs from leading providers 
Build tools for accessing and utilizing LLM technologies including CICD pipelines monitoring systems and automation 
Learn how products are built and collaborate with product teams to apply generative AI to realworld problems 


These are the essentials youll need to get an interview 

Appreciating a challenge and being ready to ask for help with approach to solving it 
Proficiency in Python 3 and experience with frameworks such as FastAPI Falcon or Flask 
A solid understanding of what LLMs are  and what they are not 
A general grasp of the opportunities generative AI presents in todays world 
Eagerness to learn and adapt 
A problemsolving mindset with the ability to seek help when needed 


What to expect from the hiring process

Call with Talent Partner 
AssessmentPractical Interview 
Final Interview with the hiring team 


Graduate Programme Overview

Our Graduate Programme is designed to accelerate your career and provide a comprehensive foundation for success Heres what you can expect

12Month Development Programme A structured programme featuring rolespecific training and professional skills development to equip you for success 
RealWorld Experience Engage in meaningful tasks and projects gaining handson experience from day one 
Exposure to Senior Leadership Benefit from direct interactions with our CEO graduate sponsor and functional leaders offering invaluable insights and mentorship 
Comprehensive Support System Enjoy continuous guidance from the People Experience and Development team as well as your dedicated line manager 
Pathway to Promotion Successful completion of the programme can lead to a permanent role and promotion contingent on your performance 
Graduate Alumni Network Stay connected with your cohort and join a vibrant community of programme alumni to support your longterm growth 


Our programme offers an incredible opportunity to build your skills expand your network and shape your career in a supportive and dynamic environment

What can we offer you

We are driven by a set of shared values We are fast fearless and innovative We work diligently to get it right We are guided by accuracy ethics and proven methodologies We respect and trust each other bringing these values into everything that we do

A cohesive fun inclusive and supportive team environment 
From day one youll have the opportunity to engage with our fastpaced innovative teams and make meaningful contributions We encourage innovative thinking and when combined with our collaborative culture it creates an enjoyable and inspiring experience for all 
A good worklife balance Because we all work better when we are rested Your wellbeing is as important to us as your career growth Access curated resources for your physical mental financial and social wellbeing at your convenience anytime anywhere 
Exclusive LinkedIn Learning license offering unlimited access to a vast library of highquality expertled training courses that are designed to elevate your skills and foster continuous growth 
An extra day off to celebrate yourself  enjoy an additional day to relax and celebrate your birthday 


Ready to take the first step Apply now and be part of our next generation of leaders

Company Description And Culture

YouGov is a global online research company offering insight into what the world thinks 

We speak daily to our panel of over 27 million registered members to understand opinion and behaviors around the world We have a strong reputation as a source of accurate data and were trusted by the worlds biggest brands to get it right making us the most quoted market research source in the world

Why join YouGov

Join our global team to help us achieve our social mission to make millions of peoples opinions heard for the benefit of our local national and international communities

Understanding diversity of opinion requires diversity of background Although our global panel of millions of people worldwide powers our research our biggest asset is our people If our research is to be truly representative of what the world thinks we need people from all walks of life to be part of the team to bring their perspective to the work we do

Life at YouGov

We are driven by a set of shared values We are fast fearless and innovative We work diligently to get it right We are guided by accuracy ethics and proven methodologies We respect and trust each other bringing these values into everything that we do

We strive to provide YouGovers with bestinclass benefits to support their physical financial and emotional wellbeing We want our employees to have a sense of belonging and uniqueness in a supportive workplace so they can bring their full selves to work

Equal Opportunity Employer

As an Equal Opportunity Employer qualified applicants will receive consideration for employment without regard to race color religion sex including pregnancy gender identity or expression and sexual orientation parental status national origin marital status age disability genetic information HIV status political affiliation socioeconomic background veteran status or any other characteristic protected by law or in line with our responsibilities as a fair and ethic employer All employment decisions are made based on occupational qualifications merit and business need

Data Privacy

To find out how we collect and use your personal data when you apply for a role at YouGov please read our privacy notice";Software Developer;Middle;google.com25
"Software Engineer Intern - Genesys Cloud 
";"
As the worlds leader in digital payments technology Visas mission is to connect the world through the most creative reliable and secure payment network  enabling individuals businesses and economies to thrive Our advanced global processing network VisaNet provides secure and reliable payments around the world and is capable of handling more than 65000 transaction messages a second The companys dedication to innovation drives the rapid growth of connected commerce on any device and fuels the dream of a cashless future for everyone everywhere As the world moves from analog to digital Visa is applying our brand products people network and scale to reshape the future of commerce

At Visa your individuality fits right in Working here gives you an opportunity to impact the world invest in your career growth and be part of an inclusive and diverse workplace We are a global team of disruptors trailblazers innovators and risktakers who are helping drive economic growth in even the most remote parts of the world creatively moving the industry forward and doing meaningful work that brings financial literacy and digital commerce to millions of unbanked and underserved consumers

Youre an Individual Were the team for you Together lets transform the way the world pays

Job Description

Our Summer Internship is an 11week programme providing you the opportunity to experience all that Visa has to offer alongside completing challenging work building your skillset and networking with fellow interns and Visa employees Throughout the internship you will support professionals on core activities within your team be given an endtoend project to complete and take part in a variety of trainings to increase your learning You will also get the opportunity to take part in a global social impact case challenge as well as hearing from senior leaders through our Visa Executive Speaker Series

The internship is just the beginning to what we hope will be a lasting career at Visa If you are successful throughout your internship you could even secure a graduate role with us when you finish university

Daily Responsibilities

Opportunity to work across different Contact Center product lines gaining an insight and appreciation into software engineering practices and technologies 
Assist in designing developing and maintaining Contact Center related products and systems like IVR ChatBots REST API GenAI etc 
Collaborate with crossfunctional teams to define design and implement new Contact Center features 
Work within an Agile environment which embraces Test Driven development Continuous Integration and Development 
Grow your knowledge and skills in CX software engineering through Visas progressive technical community 

Qualifications

Pursuing a bachelors or masters degree & graduating December 2025 or later 
A strong desire to understand and leverage new tools and technologies and evolve their learning of the discipline 
Analytical abilities including the ability to translate and communicate technical requirements 
Knowledge of Contact Center related products and systems like IVR agents management  queue skills call recording chat bot is a plus 
Fundamental knowledge of Unified Communications and related technologies VOIP ISDN PBX is a plus 
General knowledge or experience with one of the following products Cisco CUCM Cisco CUBE Genesys is a plus 
Cloud platforms like AWS GCP Azure is a plus 
An undeniable passion for the software engineering discipline examples of work you have completed outside of the core curriculum is a plus 

Additional Information

Visa is an EEO Employer Qualified applicants will receive consideration for employment without regard to race color religion sex national origin sexual orientation gender identity disability or protected veteran status Visa will also consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law

We may be able to offer financial relocation support to Warsaw for successful applicants and Visa Interns in Poland are entitled to paid annual leave

";Software Developer;Intern;google.com26
IT Development Program (3-12 months, part-time / full-time);"Job Description

Information Technology at Procter  Gamble is where business innovation and technology integrate to create a competitive advantage for PG to win with consumers Whether your role is to create an IT innovation strategy for a business protect our critical information systems and assets or build a completely new way of operating your technical knowledge will be recognized and rewarded Your career in IT at PG will build you through growing your technical leadership and influence skills expand your perspective via experiences across multiple businesses and cultivate depth of expertise in areas like Engineering Analytics Product Management Information Security and many more

What we offer is an exciting and diverse set of opportunities to solve problems that come with being one of the largest consumer goods companies in the world

Responsibilities

Based on your experience and preferences you might be assigned to a technical or business  managerial IT traineeship Your responsibilities might be but not limited to

develop code to solve business problem 
communicate and cooperate with all involved parties 
coordinate technical changes and requirements and establish the right user experience 
gather business requirements and lead process simplification issue resolution and manage changes 
provide business and technical insights 
collaborate with vendors to deliver against the business needs 

You might be offered with one of the following roles as per your skills and recruiters assessment Product Owner Project Manager Scrum Master Operations Manager DevOps Manager Software Engineer Solution Architect Data Engineer UXUI Designer and more

Your traineeship might last 312 months The main focus of this program is your professional development You might be offered for fulltime position upon successful completion of the traineeship

Job Qualifications

Requirements 

3rd 4th 5th year students or graduates  with a real passion for business and technology 
Basic programming skills in any generalpurpose programming language 
Problem solving skills and positive attitude towards challenges and change 
Very strong leadership teamwork innovation and analytical skills 
English fluency UpperIntermediate or higher level 

Nice To Have

Experience with Javascript Python Scala Java 
Basics of cloud knowledge Azure Google Cloud Platform AWS 
Understanding of Kubernetes Spark Databases SQL 
Any IT certification i e Bootcamp SCRUM or Cloud Certification 

We Offer

Attractive salary 10 900 PLN
PGsized projects and access to world leading IT partners and technologies from Day 1 
Work in international teams with global or regional responsibilities 
Work with industry leading technologies platforms and tools 
Mentoring programs training and relevant certifications 
Flexibility in defining work schedule depending on individual case including partially remote work 
Opportunity to participate in PG voluntary charity programs 
Additionally we offer the Flex Fund benefit  empowering you to craft a personalized benefits package tailored to your unique needs priorities and life stages Whether you prioritize health and wellness or crave the perfect worklife balance seize the freedom to select what truly matters to you

Just so you know 

All qualified applicants will receive consideration for employment without regard to race color religion sex national origin disability status age sexual orientation gender identity and expression marital status citizenship HIVAIDS status or any other legally protected factor

PG is a leading global consumer goods company whose winning brands are built around the model of innovation Whatever your passion is we want to ignite your potential to become your very best self We hold true to our purpose values and principles as we seek to make a difference in the world around us You will engage in meaningful work that will touch the lives of others and have a real impact Everything at PG starts with understanding  understanding our consumers and our employees as we innovate to improve lives now and for generations to come

Job Schedule

Full time

Job Number

R000126325

Job Segmentation

Internships Job SegmentationStarting Pay  Salary Range";Software Developer;Intern;google.com27
"EY GDS Internship Program - SAP Logistics with German B1 
";"Location Wroc?aw  Warsaw

Hybrid model 4 days office1 day remote

Let us introduce you the job offer by EY GDS Poland  a member of the global integrated service delivery center network by EY

The opportunity

With a constant growth of our business and customers needs we are willing to move our projects on the new track We are able to offer you a SAP Junior Consultant Internship with an intensive training program You will use the most advanced technology stack and you will have an opportunity to support implementation process of new solutions You will work with the most recognizable and influential players on the markets within the challenging projects in areas as SAP Development SAP Data migrations SAP implementations and configurations

Your Key Responsibilities

As the Intern you will have opportunity to try yourself in the role of SAP Junior Consultant Your main responsibility will be providing support in various project tasks assigned respectively to your skills and project needs You may work on such activities like testing SAP solutions in selected area getting new knowledge through documentation study and applying this knowledge in daytoday tasks Moreover you will be part of an interdisciplinary environment that emphasizes high quality and knowledge exchange You will work with more experienced colleagues to gain consultant skills in SAP Logistics area modules like MM SD EWM PP It is a great opportunity to start your journey as a SAP consultant

Skills And Attributes For Success

Youll successfully get to know and gain understanding about SAP environment
Youll enthusiastically enhance your core SAP technology knowledge and experience with programming andor cloud technologies

To qualify for the role you must have

MS Excel skills for preparation of reports data visualization
MS PowerPoint skills preparation presentations for team and clients
Very good command of English 
 Good command of German
Interest in Logistics SAP area
Willingness to familiarize oneself with new topics 
Readiness to cross company communication with consultants and business stakeholders 
Autonomy in problems solving and knowledge seeking 

Ideally youll also have

Team player skills and ability to work collaboratively with and through others 
Very good communication skills 
Sense of humour 

What Working At EY Offers

EY Global Delivery Services GDS is a dynamic and truly global delivery network We work across ten locations  Argentina China Hungary India the Philippines Poland Sri Lanka Mexico Spain and the United Kingdom  and with teams from all EY service lines geographies and sectors playing a vital role in the delivery of the EY growth strategy

At GDS you will collaborate with EY teams on exciting projects and work with wellknown brands from across the globe Well introduce you to an everexpanding ecosystem of people learning skills and insights that will stay with you throughout your career

We offer as well 

2 months fulltime paid internship
Opportunity to extend the contract for full time employment after completing the Internship 
Hybrid work model 4 days in the office WroclawWarsaw and 1 day of remote work Home Office  WarsawWroclaw 
Opportunity to develop technical and nontechnical skills in a global environment 
Support coaching and feedback from some of the most engaging colleagues and managers 
Variety of platforms for upskilling including access to Udemy Skill Soft for business and onsite trainings 

If you can confidently demonstrate that you meet the criteria above please contact us as soon as possible 

Join the Internship Program at EY GDS Poland Join us in building a better working world 

In compliance with the requirements of the Whistleblower Protection Act our company has established the Procedure for reporting breaches of law and undertaking appropriate followup actions Any misconduct should be reported through the EY Ethics Hotline";Software Developer;Intern;google.com27
Intern in Online Services Team (Java);"To create revolutionary storydriven RPGs which go straight to the hearts of gamers  this is our mission Want to dive deeper into our companys culture Explore our social media and check out ourYouTube channelwhere we share behindthescenes insights and stories direct from our team members

Job Description

Ever spent hours tracking drowners near Nilfgaard or uncovering every hidden secret in Night City Or maybe youre just looking for a place to learn grow and gain handson experience in a unique gaming industry

If so our RED Summer Internship is the perfect opportunity Youll work alongside experienced professionals tackle real tasks and see how things run behind the scenes at our studio Apply now and take your first step into the world of gamedev

Daily Responsibilities

Working with senior engineers and under their guidance on highly available scalable web services for millions of gamers worldwide 
Learning modern software development practices from a team of experts in this field 
Contributing to the web services for CD PROJEKT RED games using best software development practices 
Participating in the Agile process including refining tasks planning with the team reviewing others work and improving the process itself 

Qualifications

Please apply only if you meet all of the following criteria

You are at least 18 years old 
You are a fresh high school graduate or a university student 
You are going to reside in Poland throughout the whole internship 
You are available from the beginning of July until the end of September 40hweek 
You have a good command of English 

For this role you should also have

Experience with Java or other JVMbased languages internship school project opensource contribution or personal project 
Experience with a popular opensource web framework such as Spring Boot or Quarkus 
Awareness of software development techniques such as TDD SOLID DDD and Clean Code 
A disciplined approach and a strong eagerness to learn quickly 

Nice to have

Passion for gaming and general interest in the gaming industry 
Familiarity with containerization solutions such as Docker Kubernetes or Helm 
Familiarity with SQL  NoSQL databases 
Understanding of asynchronous communication such as RabbitMQ PubSub or SQS 
Experience with cloudbased solutions and microservice architecture Google Cloud Platform 

Please attach code samples if you have any finished school or personal projects participation in opensource projects or link to your github profile

Please note that your CV must be in English

Additional Information

Working mode OfficeFirst working from the Warsaw office for at least three days a week 
The internship is fully paid under a contract of mandate running from July to the end of September 

Please note that CD PROJEKT RED cannot facilitate in residencestudy permits andor relocation supporthousing

Perks  Benefits

Flexible working hours  start your workday anytime between 800 and 1000 AM 
A welcome pack filled with goodies  to help you feel right at home once you join the team 
Dogfriendly office  dog owner Bring your pooch with you and look after them while working Theres always a furry friend or two to meet at the studio 
Social events  we host regular gatherings at the studio where we can all unwind play games and just have some fun together 
Healthy selections  organic fruit snacks muesli organic honey vegan milk and speciality coffee are all at your disposal around the studio Enjoy
Truly international working environment  a chance to meet and work with a diverse selection of people from all around the world 
Sustainable campus with an eco ethos  solar panels provide green energy 2000 plants and an airfiltering system to help provide clean air electric car charging points flower meadows and more green features in the works 
An onsite wellequipped gym with a climbing wall daily Gym Assistant support and yoga and healthy spine classes 
Car and bike parking spaces 
A designated space for your bicycle as well as bicycle repair equipment and showers available whenever you need them 
No dresscode  we like to keep it casual 

If youve observed any irregularities in our recruitment process please clickhereto report them";Software Developer;Intern;google.com29
