Name of Position;Description;Label;Link to Job
"Master's Machine Learning Internship 2025 (Warsaw) 
";"
Millions of people across the world come to Pinterest to find new ideas every day. It’s where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you’ll be challenged to take on work that upholds this mission and pushes Pinterest forward. You’ll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet.

Creating a life you love also means finding a career that celebrates the unique perspectives and experiences that you bring. As you read through the expectations of the position, consider how your skills and experiences may complement the responsibilities of the role. We encourage you to think through your relevant and transferable skills from prior experiences.

Our new progressive work model is called PinFlex, a term that’s uniquely Pinterest to describe our flexible approach to living and working. Visit our PinFlex landing page to learn more. 

As a Machine Learning Intern at Pinterest, you’ll work on tackling new challenges in machine learning and artificial intelligence. Throughout your internship, you’ll join our engineering teams as we maneuver through exponential growth and massive scale while building awesome products and features, creating visually rich experiences, spearheading the discovery problem, and pinpointing tomorrow’s engineering challenges. We offer a 12-week summer internship program.

What You’ll Do

Contribute in cutting-edge research in machine learning and artificial intelligence that can be applied to Pinterest problems
Collect, analyze, and synthesize findings from data and build intelligent data-driven model
Write clean, efficient, and sustainable code
Use machine learning, natural language processing, and graph analysis to solve modeling and ranking problems across discovery, ads and search
Scope and independently solve moderately complex problems
Take proactive ownership over the completion and quality of your tasks and project with minimal guidance from your mentor, manager, and peers


What We Are Looking For

Working towards a Master's degree in Computer Science, ML, NLP, Statistics, Information Sciences or related field
Machine Learning (ranking, computer vision, NLP, content recommendations, embedding, information retrieval etc)
Mastery of at least one systems languages (Java, C++, Python) or one ML framework (Tensorflow, Pytorch, MLFlow)
Strong communicator and team player. Being able to find solutions for open-ended problems


In-Office Requirement Statement

We let the type of work you do guide the collaboration style. That means we're not always working in an office, but we continue to gather for key moments of collaboration and connection.
This role may require you to be located near an office for in-person collaboration, and therefore may need to be located a commutable distance from our Warsaw Pinterest office.


Our Commitment To Inclusion

Pinterest is an equal opportunity employer and makes employment decisions on the basis of merit. We want to have the best qualified people in every job. All qualified applicants will receive consideration for employment without regard to race, color, ancestry, national origin, religion or religious creed, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, age, marital status, status as a protected veteran, physical or mental disability, medical condition, genetic information or characteristics (or those of a family member) or any other consideration made unlawful by applicable federal, state or local laws. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you require a medical or religious accommodation during the job application process, please complete this form for support.";AI, Intern;google.com
"2025 Warsaw Technology Development Summer Internship 
";"A Career with Point72’s Technology Team

As Point72 reimagines the future of investing, our Technology group is constantly improving our company’s software development practice, positioning us at the forefront of a rapidly evolving technology landscape. We’re a team of experts experimenting, discovering, and building new ways to harness the power of open-source solutions and embrace enterprise agile methodology. We encourage professional development to bring innovative ideas to our products while satisfying your intellectual curiosity.

What you’ll do

Our 12-week internship program in the summer of 2025 will give you the chance to work as a part of one of our technology teams, partnering with and learning from experienced professionals. Whether you are interested in business analysis, software development, quality assurance, data engineering, or modern infrastructure, we have great learning and development opportunities across our Warsaw office.

As an intern, every day you will learn about and contribute to designing, building, testing, and maintaining systems and applications used by a global asset manager.

You will also participate in networking, social, and educational events that will help you learn about teams across Point72 and understand the big picture of how a global investment fund operates.

What’s Required

A bachelor’s degree (or expected completion in 2026)
Understand the concepts of cloud computing including data storage, deployment (AWS preferred) 
Familiarity with at least one of the following:
 UI Technologies (e.g., Angular, React, HTML, CSS)
 QA and testing frameworks using TypeScript and Playwright
Some coding experience or previous exposure to C#, JavaScript/React, SQL, Python, PowerShell, or Git 
Knowledge of Windows or Linux operating systems
Strong analytical and problem-solving skills
A commitment to the highest ethical standards 

We take care of our people

We invest in our people, their careers, health, and well-being. We want you to concentrate on success and leave the rest to us. When you work here, we provide:

Sports card 
Private life insurance
Private medical and dental care, with vision allowance

About Point72

Point72 is a leading global alternative investment firm led by Steven A. Cohen. Building on more than 30 years of investing experience, Point72 seeks to deliver superior returns for its investors through fundamental and systematic investing strategies across asset classes and geographies. We aim to attract and retain the industry’s brightest talent by cultivating an investor-led culture and committing to our people’s long-term growth. For more information, visit www.Point72.com/about.

Our Warsaw office gives us access to world-class talent with a reputation for excellence and innovation. We’re looking to build an office of subject-matter experts whose fresh perspectives will help evolve our infrastructure and advance the capabilities of our teams. Learn more at https://point72.com/Warsaw.";Software Developer, Intern;google.com
Software Engineering Intern - Poland;"Samsara (NYSE: IOT) is the pioneer of the Connected Operations™ Cloud, which is a platform that enables organizations that depend on physical operations to harness Internet of Things (IoT) data to develop actionable insights and improve their operations. At Samsara, we are helping improve the safety, efficiency and sustainability of the physical operations that power our global economy. Representing more than 40% of global GDP, these industries are the infrastructure of our planet, including agriculture, construction, field services, transportation, and manufacturing — and we are excited to help digitally transform their operations at scale.

Working at Samsara means you’ll help define the future of physical operations and be on a team that’s shaping an exciting array of product solutions, including Video-Based Safety, Vehicle Telematics, Apps and Driver Workflows, Equipment Monitoring, and Site Visibility. As part of a recently public company, you’ll have the autonomy and support to make an impact as we build for the long term.

About the role:

We are seeking early-in-career Software Engineer Interns to join various engineering teams. If you want to make a positive global impact, this is the role for you!

As a Software Engineer Intern at Samsara, you will design and develop features across a broad surface area with a tangible impact on active and future customers. You’ll tackle engineering challenges ranging from architecting data structures for mass data collection to presenting data analytics in intuitive and performant ways on web and mobile. We are actively leveraging AI to make our products better for our customers and you will get the opportunity to work with cutting-edge technologies and techniques like LLMs, RAG.

Applying to this job requisition, you will be considered for one of the following engineering specializations based on your experience, interest, and business needs:


Backend Infrastructure engineers design and develop the infrastructure that powers Samsara’s IoT platform, used by tens of thousands of customers globally, connecting more than 15 thousand hardware assets to improve the safety, efficiency, and sustainability of their operations. You will work on scaling our data ingestion and storage systems to support more and more connected devices and work with engineers throughout the company to make new types of data analysis possible.
Full-stack, Frontend engineers develop user interfaces that intuitively present the data collected from millions of devices. You will work directly with the design and product teams to identify solutions and iterate quickly based on feedback. The features you build will provide actionable insights for our customers’ operations and may involve anything from design systems to performance engineering.
Full-stack, Backend engineers design and develop features across a broad surface area with tangible impact on active and future customers. You will tackle engineering challenges ranging from architecting data structures for mass data collection to presenting data analytics in intuitive and performant ways on web and mobile.
Mobile Infrastructure engineers work on the critical infrastructure behind our React Native application. Your tools will enable feature teams to iterate quickly and empower them to write performant and maintainable code.


We use Golang for our backend, Typescript and React for our web client, GraphQL to fetch data from our backend, and React Native for our mobile app. Direct experience with this stack is not required, but experience with similar technologies is strongly encouraged.

Eligibility

This will be a fully remote role. Employees must be based out of Poland. Relocation assistance will not be provided for this role. You will complete a Bachelor’s or Master’s degree in Computer Science, Mathematics, Software Engineering, Physics, Data Science, or similar. To be eligible for this role, you must be enrolled in university for the full duration of this internship and graduate in Summer/Spring 2026.

You should apply if:


You want to impact the industries that run our world: The software, firmware, and hardware you build will result in real-world impact—helping to keep the lights on, get food into grocery stores, and most importantly, ensure workers return home safely.
You want to build for scale: With over 2.3 million IoT devices deployed to our global customers, you will work on a range of new and mature technologies driving scalable innovation for customers across industries driving the world's physical operations.
You are a life-long learner: We have ambitious goals. Every Samsarian has a growth mindset as we work with a wide range of technologies, challenges, and customers that push us to learn on the go.
You believe customers are more than a number: Samsara engineers enjoy a rare closeness to the end user and you will have the opportunity to participate in customer interviews, collaborate with customer success and product managers, and use metrics to ensure our work is translating into better customer outcomes.
You are a team player: Working on our Samsara Engineering teams requires a mix of independent effort and collaboration. Motivated by our mission, we’re all racing toward our connected operations vision, and we intend to win—together.


An ideal candidate:


Wants to win as a Team! Will champion, role model, and embed Samsara’s values (Focus on Customer Success, Build for the Long Term, Adopt a Growth Mindset, Be Inclusive, Win as a Team) as we scale globally and across new offices.
Has a builder mindset! We want to see that you have built or worked on production applications on your resume. We want students with multiple repositories in their GitHub demonstrating your software development journey.
Knows their stuff! We want students with experience developing software in the following stacks. Please note we do not expect you to have worked with all of these technologies, and we are prepared to train you in languages you haven’t worked with previously.
Backend, Infrastructure: Golang, Node.js, Python (w/Django a plus) or Flask, Ruby, or Java (w/Spring Boot a plus). Experience with Docker or Kubernetes is a plus. 
Fullstack, Frontend: Typescript, JavaScript, React, Vue.js, Svelte, or Angular
Fullstack, Backend: GraphQL, Rest, Apollo, or Relay and No SQL databases such as Mongo DB or DynamoDB.
Mobile Infrastructure: Swift or Kotlin and React, Flutter, Xamarin, or Ionic.
Is customer obsessed! Finds excitement in understanding our customers and what would make their day-to-day processes easier. Motivation comes from building and shipping customer experiences and seeks to iterate on new products based on customer feedback.
Champion, role model, and embed Samsara’s cultural principles (Focus on Customer Success, Build for the Long Term, Adopt a Growth Mindset, Be Inclusive, Win as a Team) as we scale globally and across new offices.

At Samsara, we welcome everyone regardless of their background. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, gender, gender identity, sexual orientation, protected veteran status, disability, age, and other characteristics protected by law. We depend on the unique approaches of our team members to help us solve complex problems and want to ensure that Samsara is a place where people from all backgrounds can make an impact.

Benefits

Full time employees receive a competitive total compensation package along with employee-led remote and flexible working, health benefits, Samsara for Good charity fund, and much, much more. Take a look at our Benefits site to learn more.

Accommodations 

Samsara is an inclusive work environment, and we are committed to ensuring equal opportunity in employment for qualified persons with disabilities. Please email accessibleinterviewing@samsara.com or click here if you require any reasonable accommodations throughout the recruiting process.

Flexible Working 

At Samsara, we embrace a flexible working model that caters to the diverse needs of our teams. Our offices are open for those who prefer to work in-person and we also support remote work where it aligns with our operational requirements. For certain positions, being close to one of our offices or within a specific geographic area is important to facilitate collaboration, access to resources, or alignment with our service regions. In these cases, the job description will clearly indicate any working location requirements. Our goal is to ensure that all members of our team can contribute effectively, whether they are working on-site, in a hybrid model, or fully remotely. All offers of employment are contingent upon an individual’s ability to secure and maintain the legal right to work at the company and in the specified work location, if applicable.

Fraudulent Employment Offers

Samsara is aware of scams involving fake job interviews and offers. Please know we do not charge fees to applicants at any stage of the hiring process. Official communication about your application will only come from emails ending in ‘@samsara.com’ or ‘@us-greenhouse-mail.io’. For more information regarding fraudulent employment offers, please visit our blog post here.";Software Developer, Intern;google.com
"Software Developer Internship : Silicon Monitoring Solutions 
";"
Siemens EDA is a global technology leader in electronic design automation software. Our software tools enable companies around the world to develop new and highly innovative electronic products faster and more cost-effectively. Our customers use our tools to push the boundaries of technology and physics in order to deliver better products in the increasingly complex world of chip, board and system design.

Tessent Embedded Analytics, part of Siemens EDA, is a pioneering developer of analytics and monitoring technology at the heart of the systems-on-chip (SoCs) that power today’s electronic products. Our embedded analytics technology allows product designers to add sophisticated cybersecurity, functional safety and performance tuning features; and it helps resolve critical issues such as increasing system complexity and ever- decreasing time-to-market. We are proud of our technology and selling globally to many of the most respected and most exciting technology companies in the world.

The promise of a digital future…today. With the digital twin, Siemens Digital Industries Software blurs the boundaries between the virtual and physical, hardware and software, design and manufacturing worlds. For more information about us visit - https://www.youtube.com/watch?v=k6mVLaUyO4U

What We’re Looking For

We are looking for a talented intern to join our Embedded Analytics software team. In this role, you will contribute to the development of tools that enable the integration of our hardware monitors into silicon chip designs. You will participate in creating software to manage and analyze data collected from these on-chip monitoring systems. If you have a strong background in embedded software and a keen interest in silicon analytics, we encourage you to apply. You'll work alongside experienced engineers, gain hands-on experience with state-of-the-art technologies, and play a key role in shaping our Embedded Analytics software suite. This is an excellent opportunity to expand your skills, contribute to cutting-edge projects, and jumpstart your career in semiconductor industry and analytics software.

You will be working with the following technologies: 

Software languages: Python, C, C++ 
Markup languages (YAML, XML) 
GUI design, Tcl 
Embedded system design 
Silicon ASIC and FPGA designs (including Verilog) 
Machine learning 
Software management and CI tools (Gitlab, Jenkins) 

Why Working at Siemens Software?

We are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, sex, gender, gender expression, sexual orientation, age, marital status, veteran status, or disability status.

We are Siemens

A collection of over 377,000 minds building the future, one day at a time in over 200 countries. We're dedicated to equality, and we welcome applications that reflect the diversity of the communities we work in. All employment decisions at Siemens are based on qualifications, merit, and business need.
";Software Developer, Intern;google.com
Intern Software Engineer;"Please submit your documents in English when applying for this position.

We are looking for Junior Software Engineer for our OvertureRT team. You will join a successful and experienced team that architects, develops and manages high-performance real-time video and graphics pipelines working in C and C++.

Skills And Experience You Will Bring

Basic to intermediate proficiency with modern C/C++ (academic or personal projects).
Familiarity with Linux environments (e.g., working with the command line).
Understanding of clean code and design patterns. 
Exposure to scripting languages such as Python, Bash, or Shell.
Good communication skills in English (both written and verbal).
Be results-oriented, self-motivated, and a team player.
Strong analytical, research, and problem-solving skills.

Additional Skills And Experience That Will Be Useful

Interest in video processing and broadcast industry 
Basic understanding of cloud infrastructure is a plus 
Basic experience with Git (e.g., version control, repositories); familiarity with CI/CD tools, Confluence, or JIRA is a plus. 
Basic understanding of networking concepts (e.g., TCP/UDP, sockets, or multicast/unicast).

Your Responsibilities

Contributing to the design and implementation of software following best practices.
Supporting improvements in existing software under guidance.
Writing clean, well-documented, and efficient code that others can understand.
Gaining experience with unit and functional testing as part of software development.
Contributing both independently and in a team setting, collaborating with peers and mentors.
Assisting in deploying software tools and processes under supervision.
Supporting the maintenance and improvement of existing systems.

Recruitment Process Is Simple

Screening with recruiter (30min) 
Technical interview with 2 Software Engineers (about 90min) 

If you are a talented Software Engineer looking for a role that offers both technical challenges and opportunities for professional development, we invite you to join our team and help us shape the future.

You will meet regularly with your mentor in person in Warsaw or Cracow.

When you apply to a job on this site, the personal data contained in your application will be collected by Evertz Microsystems Ltd (“Controller”), which is located at 5292 John Lucas Drive, Burlington, Ontario, Canada and can be contacted by emailing [email protected]. Controller’s data protection officer is Nadiera Toolsieram, who can be contacted at [email protected]. Your personal data will be processed for the purposes of managing Controller’s and its' subsidiaries' and affiliates' recruitment related activities, which include setting up and conducting interviews and tests for applicants, evaluating and assessing the results thereto, and as is otherwise needed in the recruitment and hiring processes. Such processing is legally permissible under Art. 6(1)(f) of Regulation (EU) 2016/679 (General Data Protection Regulation) as necessary for the purposes of the legitimate interests pursued by the Controller, which are the solicitation, evaluation, and selection of applicants for employment.

A complete privacy policy can be found at https://evertz.com/contact/privacy/

Your personal data will be retained by Controller as long as Controller determines it is necessary to evaluate your application for employment. Under the GDPR, you have the right to request access to your personal data, to request that your personal data be rectified or erased, and to request that processing of your personal data be restricted. You also have to right to data portability. In addition, you may lodge a complaint with an EU supervisory authority.";Software Developer, Intern;google.com
Software Engineer, Intern;"At Bending Spoons, we’re striving to build one of the all-time great companies. A company that serves a huge number of customers. A company where team members grow to their full potential. A company that functions at unparalleled levels of effectiveness and efficiency. A company that creates value for shareowners at an extraordinary rate. And a company that does so while adhering to high ethical standards.



To achieve this objective, we execute the following strategy: We acquire a digital business with untapped potential and make it as successful as we can by leveraging our platform—which comprises our expertise, technologies, data, brand, talents, and company culture. Then, we invest the proceeds into making our platform more powerful, and into acquiring new businesses. Thus, our strategy sees us combine an investor’s attention to capital allocation with the hands-on approach of an operator.



For a talented, driven, and collaborative individual, working at Bending Spoons is an opportunity to learn, make an impact, and progress their career at an exceptionally high rate. That’s our promise to such a candidate.



A few examples of your responsibilities:

Master your toolkit. By working across diverse tech stacks, you’ll refine your ability to choose the right tools for every challenge. From monolithic to microservices architectures, gRPC to REST APIs, Kubernetes to Docker, Python to Rust—you’ll show that true expertise isn’t about using the trendiest technologies, but about understanding their purpose to unleash their full potential.
Build stuff that matters. Regardless of your seniority, you’ll enjoy plenty of autonomy and take full ownership of your work, from ideation to execution. You’ll have the unique opportunity to build software from the ground up and witness firsthand how your code evolves into a product used at scale.
Simplify relentlessly. Is every component essential? Do we need this process? As a Bending Spoons engineer, your mission is to turn complexity into simplicity. Whether optimizing CI/CD pipelines, writing maintainable code, or crafting minimalist architectures, your drive to simplify will power scalable, future-proof solutions.


What we look for

Reasoning ability. Given the necessary knowledge, you can solve complex problems. You think from first principles, and structure your ideas sharply. You resist the influence of biases. You identify and take care of the details that matter.
Drive. You’re extremely ambitious in everything you do—and your initiative, effort, and tenacity match the intensity of your ambition. You feel deeply responsible for your work. You hold yourself to a high—and rising—bar.
Team spirit. You give generously and without the expectation of receiving in return. You support the best idea, not your idea. You're always happy to get your hands dirty to help your team. You’re reliable, honest, and transparent.
Proficiency in English. You read, write, and speak proficiently in English.
You can work at least 20 hours per week. A full-time commitment is preferred, but we’ll consider applicants who can commit to at least 20 hours per week.


What we offer

Incredibly talented, entrepreneurial teams. You’ll work in small, result-oriented, autonomous teams alongside some of the brightest people in your field.
An exceptional opportunity for growth. We go to great lengths to hire individuals of outstanding potential—then, our priority is to put them in the ideal position to thrive. Spooners in their 20s lead products worth hundreds of millions of dollars. And if you’ve got what it takes, you’ll soon be playing an essential role in major projects, too.
Competitive pay and access to equity in the company. Typically, we offer an individual at the start of their career a salary of £66,779 in the UK and €63,965 elsewhere. If they possess a few years of relevant experience, the salary on offer tends to be between £110,389 and £149,636 in the UK, and €105,737 and €143,330 elsewhere. Pay grows rapidly as you accumulate experience and translate it into greater impact. You can also receive some of your pay in company equity at a discounted price, thus participating in the value creation we achieve together. If relocating to Italy, you may enjoy a 50% tax cut.
All. These. Benefits. Flexible hours, remote working, unlimited backing for learning and training, top-of-the-market health insurance, a rich relocation package, generous parental support, and a yearly retreat to a stunning location. We help each Spooner set up the conditions to do their best work.


Commitment & contract

Internship. Full-time or Part-time.



Location

Milan (Italy), London (UK), or fully remote.



Before you apply

Bending Spoons is a demanding environment: We’re extremely ambitious and we ask a lot of ourselves and one another. While this tends to lead to fantastic learning, achievements, and career growth, it also requires a significant commitment. So if you like the role and are ready to give your very best, don’t hesitate to apply.



The selection process

If you pass our screening, we’ll ask you to take on a few tests that assess how you approach unfamiliar problems. If you’re successful with those, we’ll invite you to a series of interviews.



Bending Spoons is an equal opportunity and affirmative action employer. We consider for employment any applicant and we provide reasonable accommodations for an applicant with disabilities, which can be requested at accommodations-ext@bendingspoons.com.



Studies suggest that women tend not to apply for a job if their CV isn’t a perfect fit. Here, talent takes precedence over experience. So if you like the role and think you could be awesome at it in time, go ahead and apply.";Software Developer, Intern;google.com
Sta? w Zespole Business Intelligence ;"W trakcie sta?u kandydat zapozna si? od praktycznej strony z procesem rozwoju oprogramowania, zaawansowan? analityk? danych, procesem wdra?ania oprogramowania na ró?nych ?rodowiskach, dynamicznie rozwijaj?cym si? ?rodowiskiem Business Intelligence. W swojej pracy b?dzie korzysta? z wielu najnowszych technologii, przetwarza? ogromne zbiory danych oraz bra? udzia? w du?ych projektach teleinformatycznych.



Nasze oczekiwania

Student minimum 3 roku kierunku informatyka lub innych pokrewnych kierunków technicznych,
Znajomo?? (min. podstawowa) Linux, Python, SQL,
Znajomo?? j. angielskiego na poziomie pozwalaj?cym na prac? z dokumentacj? techniczn?,
Ch?? rozwoju kompetencji w zakresie najnowocze?niejszych rozwi?za? z obszaru Business Intelligence.


Co oferujemy

P?atny 6-miesi?czny sta? z szans? na d?u?sz? wspó?prac?, data zatrudnienia - 01.04.2025
Opiekuna merytorycznego, który wprowadzi w ?wiat Grupy Polsat Plus
Elastyczne ustalenie grafiku realizacji sta?u
Szkolenia i rozwojowy feedback
Certyfikat potwierdzaj?cy udzia? w Programie
Miejsce odbywania sta?u: Warszawa, ul. Konstruktorska 4


Spó?ka informuje, ?e przyj??a Procedur? zg?aszania narusze? prawa zgodnie ustaw? z dnia 14 czerwca 2024 r. o ochronie sygnalistów.

Szczegó?owe informacje dost?pne pod poni?szym";Software Developer, Intern;google.com
Intern in Engineering Team (Smart Object);"To create revolutionary, story-driven RPGs which go straight to the hearts of gamers — this is our mission. Want to dive deeper into our company’s culture? Explore our social media and check out ourYouTube channelwhere we share behind-the-scenes insights and stories direct from our team members!

Job Description

Ever spent hours tracking drowners near Nilfgaard or uncovering every hidden secret in Night City? Or maybe you're just looking for a place to learn, grow, and gain hands-on experience in a unique gaming industry?

If so, our RED Summer Internship is the perfect opportunity! You'll work alongside experienced professionals, tackle real tasks, and see how things run behind the scenes at our studio. Apply now and take your first step into the world of gamedev.

Daily Responsibilities

Implementing and maintaining Smart Object features in C++. 
Being part of the agile development process. 
Work closely with senior developers. 

Qualifications

Please apply only if you meet all of the following criteria:

You are at least 18 years old. 
You are a fresh high school graduate or a university student. 
You are going to reside in Poland throughout the whole internship. 
You are available from the beginning of July until the end of September (40h/week). 
You have a good command of English. 

For this role, you should also have:

Good knowledge of C++. 
At least basic familiarity with Unreal Engine and Blueprints. 
A strong interest in game development. 

Nice to have:

Completed academic or Game Jam projects in Unreal Engine. 
Familiar with Game AI techniques such as Navigation, State Trees, Smart Objects, Locomotion and how they work in Unreal Engine. 

Please attach code samples if you have any: finished school or personal projects, participation in open-source projects or link to your github profile.

Please note that your CV must be in English.

Additional Information

Working mode: Office-First: working from the Warsaw office for at least three days a week. 
The internship is fully paid under a contract of mandate, running from July to the end of September. 

Please note that CD PROJEKT RED cannot facilitate in residence/study permits and/or relocation support/housing.

Perks & Benefits

Flexible working hours — start your workday anytime between 8:00 and 10:00 AM. 
A welcome pack filled with goodies — to help you feel right at home once you join the team. 
Dog-friendly office — dog owner? Bring your pooch with you and look after them while working! There’s always a furry friend or two to meet at the studio. 
Social events — we host regular gatherings at the studio where we can all unwind, play games, and just have some fun together. 
Healthy selections — organic fruit, snacks, muesli, organic honey, vegan milk, and speciality coffee are all at your disposal around the studio. Enjoy!
Truly international working environment — a chance to meet and work with a diverse selection of people from all around the world. 
Sustainable campus with an eco ethos — solar panels provide green energy, 2000 plants and an air-filtering system to help provide clean air, electric car charging points, flower meadows, and more green features in the works. 
An onsite, well-equipped gym with a climbing wall, daily Gym Assistant support and yoga and healthy spine classes. 
Car and bike parking spaces. 
A designated space for your bicycle, as well as bicycle repair equipment and showers available whenever you need them. 
No dress-code — we like to keep it casual. 

If you've observed any irregularities in our recruitment process please clickhereto report them.";Software Developer, Intern;google.com
Intern Programmer - AIConsole;"??? ?? ????????
At AIConsole, we are building a unified platform that integrates the latest AI technologies across various applications. As an Intern Programmer, you’ll have a unique opportunity to work alongside experienced developers, contribute to real projects, and deepen your technical skills in both desktop and web development.

This internship is designed for students in their 3rd or 4th year of Computer Science (or related fields) who want hands-on experience in AI-driven development. You’ll be working with Python and FastAPI, and gain exposure to both frontend and backend development.

If you're passionate about AI, eager to learn, and excited to work on meaningful projects, this is the place for you!

Responsibilities

What You’ll Be Doing

Developing new features for AIConsole’s desktop and web applications 
Writing clean, well-documented code and collaborating in code reviews 
Engaging in both frontend and backend development, depending on your interests and skills 
Testing and debugging new functionalities to ensure stability and performance 
Working closely with senior developers, receiving mentorship and hands-on guidance 
Interacting with the AIConsole community to understand user needs and improve the platform 

Who We're Looking For

Currently enrolled in a 3rd or 4th-year Computer Science (or related) program 
Proficient in Python with the motivation to further skills development 
Comfortable working independently and proactively 
Able to commit 6-8 hours per day, with at least 2 days per week on-site in Warsaw 

Benefits

English proficiency at B2 level or higher (C1 preferred)

What You’ll Gain

Hands-on experience with cutting-edge AI technologies and real-world development practices 
Mentorship from experienced engineers to help you grow technically and professionally 
A personalized reference letter recognizing your achievements 
Official internship documentation for your university and resume 
Opportunity to apply for a permanent role after successfully completing the internship 

If you're excited about AI, eager to learn, and ready to make an impact in a growing startup, we’d love to hear from you!

Want To Know More About Us

AIConsole is all about shaking up the AI game, bundling up the latest tech into one neat package. Our crew is all about pushing boundaries. With big dreams of taking our product worldwide, we're after go-getters to help us make it happen.

We embrace extreme ownership, rallying together to deliver exceptional results. In practice, this means you'll have a real say in shaping us. Your influence will be felt as we collaborate to tackle challenges and achieve our goals with precision.

";Software Developer, Intern;google.com
Graduate LLMOps Engineer;"As a Graduate LLMOps Engineer, you will not only gain general software engineering experience but also learn how to effectively integrate the latest generative AI technologies in a commercial setting. You’ll work with industry-leading tools, including AWS Bedrock, OpenAI, Claude Sonnet 3.7, and the Amazon Nova LLM family. You’ll also explore techniques like Retrieval-Augmented Generation (RAG) and GraphDBs while leveraging modern Python frameworks to orchestrate LLM usage.

Here’s a breakdown of what you’ll do (not all of it, just the important stuff): 

Operate large language models (LLMs) from leading providers. 
Build tools for accessing and utilizing LLM technologies, including CI/CD pipelines, monitoring systems, and automation. 
Learn how products are built and collaborate with product teams to apply generative AI to real-world problems. 


These are the essentials you’ll need to get an interview: 

Appreciating a challenge and being ready to ask for help with approach to solving it. 
Proficiency in Python 3 and experience with frameworks such as FastAPI, Falcon, or Flask. 
A solid understanding of what LLMs are - and what they are not. 
A general grasp of the opportunities generative AI presents in today’s world. 
Eagerness to learn and adapt. 
A problem-solving mindset, with the ability to seek help when needed. 


What to expect from the hiring process:

Call with Talent Partner 
Assessment/Practical Interview 
Final Interview with the hiring team 


Graduate Programme Overview:

Our Graduate Programme is designed to accelerate your career and provide a comprehensive foundation for success. Here's what you can expect:

12-Month Development Programme: A structured programme featuring role-specific training and professional skills development to equip you for success. 
Real-World Experience: Engage in meaningful tasks and projects, gaining hands-on experience from day one. 
Exposure to Senior Leadership: Benefit from direct interactions with our CEO, graduate sponsor, and functional leaders, offering invaluable insights and mentorship. 
Comprehensive Support System: Enjoy continuous guidance from the People Experience and Development team, as well as your dedicated line manager. 
Pathway to Promotion: Successful completion of the programme can lead to a permanent role and promotion, contingent on your performance. 
Graduate Alumni Network: Stay connected with your cohort and join a vibrant community of programme alumni to support your long-term growth. 


Our programme offers an incredible opportunity to build your skills, expand your network, and shape your career in a supportive and dynamic environment.

What can we offer you:

We are driven by a set of shared values. We are fast, fearless, and innovative. We work diligently to get it right. We are guided by accuracy, ethics, and proven methodologies. We respect and trust each other, bringing these values into everything that we do.

A cohesive, fun, inclusive and supportive team environment. 
From day one, you'll have the opportunity to engage with our fast-paced, innovative teams and make meaningful contributions. We encourage innovative thinking, and when combined with our collaborative culture, it creates an enjoyable and inspiring experience for all. 
A good work-life balance. Because we all work better when we are rested. Your wellbeing is as important to us as your career growth. Access curated resources for your physical, mental, financial, and social wellbeing at your convenience, anytime, anywhere. 
Exclusive LinkedIn Learning license offering unlimited access to a vast library of high-quality, expert-led training courses that are designed to elevate your skills and foster continuous growth. 
An extra day off to celebrate yourself – enjoy an additional day to relax and celebrate your birthday. 


Ready to take the first step? Apply now and be part of our next generation of leaders!

Company Description And Culture

YouGov is a global online research company, offering insight into what the world thinks. 

We speak daily to our panel of over 27 million registered members to understand opinion and behaviors around the world. We have a strong reputation as a source of accurate data and we’re trusted by the world’s biggest brands to get it right, making us the most quoted market research source in the world.

Why join YouGov?

Join our global team to help us achieve our social mission: to make millions of people’s opinions heard for the benefit of our local, national, and international communities.

Understanding diversity of opinion requires diversity of background. Although our global panel of millions of people worldwide powers our research, our biggest asset is our people. If our research is to be truly representative of what the world thinks, we need people from all walks of life to be part of the team to bring their perspective to the work we do.

Life at YouGov

We are driven by a set of shared values. We are fast, fearless, and innovative. We work diligently to get it right. We are guided by accuracy, ethics, and proven methodologies. We respect and trust each other, bringing these values into everything that we do.

We strive to provide YouGovers with best-in-class benefits to support their physical, financial, and emotional wellbeing. We want our employees to have a sense of belonging and uniqueness in a supportive workplace, so they can bring their full selves to work.

Equal Opportunity Employer

As an Equal Opportunity Employer, qualified applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy, gender identity or expression, and sexual orientation), parental status, national origin, marital status, age, disability, genetic information, HIV status, political affiliation, socioeconomic background, veteran status or any other characteristic protected by law or in line with our responsibilities as a fair and ethic employer. All employment decisions are made based on occupational qualifications, merit, and business need.

Data Privacy

To find out how we collect and use your personal data when you apply for a role at YouGov, please read our privacy notice";Software Developer,Middle;google.com
